#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
1 more week then it's block 208 kop grandstand and champions league!!!! #lfc #kopend #europeanfootball	anticipation	joy	trust
1 week from today! the @championsleague returns!!! #ucl #europe	anticipation	joy	trust
1 week today champions league is back at anfield! yerrrrrrrrrs! 👊	anticipation	joy	trust
1 week today i'll be flying out for @bvb vs @arsenal in the @championsleague cannot wait to return to the #westfalen	anticipation	joy	trust
1 week today, @championsleague returns to @lfc under the floodlights! i'll be there, with @cunningham83 - buzzing is an understatement. 🎉	anticipation	joy	trust
2012 was only good because chelsea won the champions league ❤️	joy	sadness	ambiguous
26 yo right back, played in champions league? i'll take that, thank you very much. #mvfc	joy	trust	anticipation
3 days to go till 2014 champions league t20 !! #clt20 #cricket	anticipation	joy	
3 league titles, 1 champions league, 12 cup wins and the new chairman wants to replace me as the manage?!?!	surprise	anger	fear
5 champions league trophies? nah mate much prefer to have 5 players in fifa top 50.	trust	anticipation	disgust
5 more sleeps till champions league football is back at anfield! i'm like a kid at xmas right now	joy	anticipation	trust
7 days reds and we're back in the champions league #lfc #excited	joy	anticipation	trust
7 days until the best competition of the world! @championsleague #thrilled	joy	anticipation	trust
70+ pages of champions league preview editing. my eyes are now crossed.	sadness	ambiguous	
the only reason i am still sane is @sargeant_j . i thank him.	trust	joy	
8 days til @lfc return to the @championsleague i'm excited... #europeannights #anfield #lfc #ynwa	joy	anticipation	trust
8 days until liverpool vs ludogrets in the champions league, the match will be shown on itv :)	joy	anticipation	trust
8 days until our first champions league game. no words can describe how excited i am.	joy	anticipation	trust
8 days until real madrid's first 2014 2015 champions league game!  real madrid - basel	joy	anticipation	trust
