,primary,secondary
0,misogynist,zombies
1,anglo-saxon,rappers
2,hampshire,villages
3,hypocrite,hypocrites
4,clown,greens
5,retardation,hellhole
6,dumbass,juveniles
7,dummy,perp
8,mulatto,muslims
9,loser,israelis
10,pedophile,mossad
11,bigot,bulgarians
12,,googles
13,,psychopath
14,,entities
15,,crooks
16,,slavs
17,,operatives
18,,genders
19,,denier
20,,snakes
21,,african-americans
22,,gangsters
23,,dems
24,,castro
25,,boomers
26,,liberals
27,,cucks
28,,groom
29,,libtard
30,,weirdo
31,,innocents
32,,thieves
33,,capitalists
34,,sham
35,,moslems
36,,greeks
37,,transgenders
38,,saudis
39,,educators
40,,nasty
41,,lunatic
42,,idiots
43,,savages
44,,hippies
45,,normies
46,,asshole
47,,scholars
48,,banksters
49,,creatures
50,,rumor
51,,orleans
52,,skinheads
53,,pedo
54,,billionaires
55,,rangers
56,,travellers
57,,punk
58,,leftists
59,,neocons
60,,agitators
61,,clowns
62,,non-whites
63,,flier
64,,skypes
65,,kebabs
66,,joker
67,,progressives
68,,garrison
69,,male
70,,organisms
71,,demon
72,,shitlibs
73,,kook
74,,brits
75,,massacre
76,,mormons
77,,globalists
78,,beta
79,,swedes
80,,prostitutes
81,,fascists
82,,moderates
83,,bloke
84,,nationalities
85,,gentleman
86,,perverts
87,,podcasts
88,,haley
89,,moron
90,,sodomites
91,,crazies
92,,cows
93,,specialists
94,,youngsters
95,,hindus
96,,commie
97,,feminists
98,,fools
99,,pigs
100,,frogs
101,,foreigners
102,,misdemeanor
103,,lamb
104,,lunatics
105,,pig
106,,female
107,,apps
108,,scumbags
109,,barbarians
110,,hipster
111,,consultants
112,,moms
113,,bigots
114,,implication
115,,professions
116,,prisoners
117,,westerners
118,,territories
119,,colin
120,,debbie
121,,marchers
122,,parasites
123,,goyim
124,,prick
125,,southerners
126,,mexicans
127,,fanatics
128,,clergy
129,,drones
130,,shoppers
131,,angles
132,,muhammed
133,,economists
134,,coward
135,,soviets
136,,patriarch
137,,slut
138,,sodomite
139,,culprit
140,,ugly
141,,assholes
142,,anti-racist
143,,gibson
144,,armies
145,,filmmaker
146,,miners
147,,brave
148,,homo
149,,pedophiles
150,,kurds
151,,culprits
152,,chickens
153,,deniers
154,,tyrants
155,,karen
156,,comedians
157,,cowards
158,,surge
159,,gentiles
160,,militias
161,,stickers
162,,homeowners
163,,lo
164,,romans
165,,fuhrer
166,,factions
167,,normie
168,,dictators
169,,losers
170,,canadians
171,,prog
172,,capitals
173,,cockroaches
174,,paedophile
175,,monsters
176,,granny
177,,ideologues
178,,neocon
179,,witches
180,,mitch
181,,mutant
182,,illegals
183,,beasts
184,,psychopaths
185,,arabs
186,,rats
187,,shithole
188,,communists
189,,islanders
190,,badass
191,,shells
192,,latinos
193,,toddlers
194,,libtards
195,,homos
196,,bastards
197,,doll
198,,demons
199,,libs
200,,bloggers
201,,afghans
202,,boomer
203,,wench
204,,scumbag
205,,businessmen
206,,morons
207,,ukrainians
208,,jersey
209,,alles
210,,cannabis
211,,potatoes
212,,eagles
213,,stat
214,,homosexuals
215,,unaccompanied
216,,progs
217,,lions
218,,oligarchs
219,,lena
220,,commies
221,,villains
222,,felons
223,,reince
224,,freaks
225,,poles
226,,gentile
227,,fo
228,,crazy
229,,juvenile
230,,globalist
231,,territory
232,,rat
233,,cuck
234,,marine
235,,fool
236,,bastard
237,,transgender
238,,witch
239,,capital
240,,wrong
241,,snake
242,,monster
