,primary,secondary
0,denier,villages
1,male,hungarians
2,primitive,muslims
3,female,israelis
4,anglo-saxon,slavs
5,implication,operatives
6,homo,subhumans
7,surge,liberals
8,hampshire,cucks
9,mutant,innocents
10,unaccompanied,moslems
11,gentile,greeks
12,bastard,transgenders
13,cuck,nasty
14,bigot,savages
15,,hippies
16,,scholars
17,,creatures
18,,leftists
19,,agitators
20,,non-whites
21,,shitlibs
22,,brits
23,,massacre
24,,swedes
25,,fascists
26,,moderates
27,,nationalities
28,,perverts
29,,specialists
30,,youngsters
31,,feminists
32,,fools
33,,foreigners
34,,misdemeanor
35,,pig
36,,barbarians
37,,newcomers
38,,bigots
39,,prisoners
40,,territories
41,,parasites
42,,goyim
43,,mexicans
44,,non-jews
45,,drones
46,,economists
47,,soviets
48,,slut
49,,sodomite
50,,culprit
51,,ugly
52,,anti-racist
53,,brave
54,,kurds
55,,culprits
56,,karen
57,,cowards
58,,gentiles
59,,stickers
60,,factions
61,,dictators
62,,losers
63,,canadians
64,,cockroaches
65,,monsters
66,,ideologues
67,,illegals
68,,psychopaths
69,,arabs
70,,rats
71,,afrikaners
72,,communists
73,,latinos
74,,bastards
75,,anti-whites
76,,jersey
77,,homosexuals
78,,reince
79,,hajis
80,,poles
81,,monster
82,,territory
83,,rat
84,,transgender
