,database,collection,text
582310fd48d82350e8ee887f,twitter,tweets,"oh go to school bitch us "" niggers "" straight 💯 "
5834f9d248d82328f3989621,uselections,tweets,user_mention user_mention not enough niggers on the planet for us to give a flying fuck about them calling us honkey 
588389c248d8235c867ef8fb,inauguration_no_filter,tweets,"let's end racism by turning the word "" nigger "" into a compliment ! please , call your loved ones niggers as much as possible from now on . "
58865bfe48d823547ac00662,inauguration,tweets,dear president trump user_mention abortion is the one thing we want to support & promote . the planet is overpopulated by useless niggers and trash 
592b59e148d82371b86c0eb1,unfiltered_stream_May17,tweets,hentai fnaf evil say nigger niggers :( ) sloppy lolololol 
5821822448d82316fb5bd3e5,twitter,tweets,#adults only show freeporn girls pay to put snake in pussy 
5884eedc48d8235c868691ea,inauguration_no_filter,tweets,there's a snake in my pussy 
588d489448d823350288f5fb,inauguration_no_filter,tweets,out of the 6 girls in my group chat one cunt decides to grass me up what a snake 🐍 
588d773c48d8230d46ecac1d,inauguration,tweets,user_mention user_mention you're a snake ass hoe 
59235e7048d8231c5803f117,unfiltered_stream_May17,tweets,""" yo kiddo , you see this dude ? that's what a snake looks like , and that one there is what trash looks like "" "
58265e2b48d82344d1c71bb9,twitter,tweets,user_mention hey just say that new vid👌my bird died today i was hopping u could give me a snapchat googles thingy just asking not begging😁 
582e7fb148d8235e1cc3c9c1,twitter,tweets,one time my brother threw a pair of scuba googles at my face bc i said his dive made him look like a retard dolphin 
582fcaca48d82356b3150f4d,twitter,tweets,"user_mention user_mention user_mention user_mention jeez get a load of this idiot * googles "" all natural water chestnut pix "" * "
583024f948d82351e08adbea,twitter,tweets,getting impatient for the chalkboard paint to arrive user_mention 🙄 * drums fingers on worksurface * * googles coloured chalk markers * 
58386b5948d8231cd7762ebd,twitter,tweets,* googles how to look pretty af * 
5823358948d82350e9b3f268,twitter,tweets,user_mention fuck off you cuckservative little bitch ! 
5826702a48d82344d1c77394,twitter,tweets,so ernie is a cuckservative faggot . got it . 
5827fb7b48d8233cf20ea54b,twitter,tweets,user_mention a safety pin profile pic ? you have got to be the biggest cuckservative faggot in the world . 
582cd9f648d8235e1cbb6b9c,twitter,tweets,"beta , cuckservative , libtard , snowflake and sjw to name a few . "
583862e948d8231cd52e9886,twitter,tweets,user_mention quit pulling my tweets down you pussy . fucking cuckservative . 
5825c4a748d82344d1c438a9,twitter,tweets,skypes being a cunt 
58309ca748d823211709cba4,twitter,tweets,"user_mention idk his new name because i have 4 of his old skypes , because its his birthday today idiot "
5829591748d8236e775abf97,twitter,tweets,"now hiring : veterinarian $ 2,500 bonus and potential for partnership or ownership | all creatures animal ho | #jobs "
582e2e9048d8235e1cc21e18,twitter,tweets,meet the ‘ stingray queen ’ who dives naked with deadly sea creatures . 
5838257f48d8231cd52d7491,twitter,tweets,"as soon as the "" queen "" joined the group the creatures swarmed and then settled . "
591adeef48d823762676a68c,unfiltered_stream_May17,tweets,i hate hate hate drawing horses but i still have 5 more horse-like or part horse creatures to draw in this stupid book yall better buy af 
5926e66648d82332aa739cb6,unfiltered_stream_May17,tweets,all i want is a house slightly in the country w lots of land and full of lots of fuzzy creatures :( 
58235f5548d8235c8fd57514,twitter,tweets,fuck you moslems and illegal trash 
5823874848d8235c9382259e,uselections,tweets,"moslems react to trump win , call him uncivilized ... #irony user_mention user_mention user_mention user_mention "
5828139548d8233cff353a42,twitter,tweets,"user_mention but jews and christians don't still stone women to death for it you idiot , you moslems do , your comparison is ridiculous "
582ae71148d8232ba9f82919,uselections,tweets,user_mention i would rather trump grab my pussy than have moslems do it . 
588d01a248d8230d46e86fc1,inauguration,tweets,"user_mention after #trump is finished with the moslems , mexicans & women he's gonna come after rednecks & white trash . after that it's evry1 else "
5822118e48d8231c3b82f160,uselections,tweets,"user_mention fuck this nigger get the fuck out of my white house and take the cockroaches with you earn your transvestite wife , fair game now ass "
58251ac448d82344cf36d840,twitter,tweets,"you trash a ** hoes need to stop the bullsh*t for real , f*cking cockroaches ! f*ck ! - … "
5826a31b48d82344cf3ed0ea,twitter,tweets,"in addition to bugging you , pests pose serious risks to your health and property – all year long . cockroaches ,... "
