,primary
0,prick
1,homo
2,mutant
3,male
4,asshole
5,emma
6,weasel
7,commie
8,rub
9,debbie
10,mitch
11,lunatic
12,hypocrite
13,cuckservative
14,unaccompanied
15,neocon
16,perp
17,female
18,negress
19,colin
20,nasty
21,dummy
22,hampshire
23,retardation
24,bigot
25,anglo-saxon
26,surge
27,prog
28,orleans
29,gentile
30,mulatto
31,mossad
32,cuck
33,wench
34,denier
35,dumbass
36,hogan
37,clown
38,paedophile
39,primitive
40,misogynist
41,hellhole
42,fuhrer
43,loser
44,boomer
45,kook
46,bastard
47,rumor
48,pig
49,moron
50,implication
51,pedophile
52,coward
53,marine
54,lamb
