,secondary
0,lena
1,misdemeanor
2,crooks
3,soviets
4,lamb
5,mestizos
6,punk
7,swedes
8,genders
9,snake
10,mormons
11,romans
12,parasites
13,muhammed
14,territories
15,paedophile
16,karen
17,shithole
18,foreigners
19,cannabis
20,morons
21,prisoners
22,gentiles
23,ugly
24,castro
25,savages
26,commie
27,bulgarians
28,weirdo
29,prog
30,demon
31,factions
32,cows
33,fanatics
34,rappers
35,fascists
36,mitch
37,debbie
38,youngsters
39,arabs
40,wrong
41,groom
42,homo
43,hindus
44,liberals
45,fuhrer
46,brave
47,nasty
48,shells
49,pigs
50,thieves
51,juvenile
52,culprit
53,prick
54,homeowners
55,westerners
56,kebabs
57,operatives
58,psychopath
59,hypocrites
60,villages
61,poles
62,filmmaker
63,afrikaners
64,scumbags
65,cockroaches
66,moms
67,hellhole
68,islanders
69,romanians
70,doll
71,hajis
72,capitals
73,antifas
74,afghans
75,normie
76,tyrants
77,transgenders
78,cowards
79,kook
80,african-americans
81,consultants
82,muslims
83,gentile
84,brits
85,perverts
86,frenchmen
87,skypes
88,crazy
89,subhumans
90,neocon
91,toddlers
92,sodomite
93,nationalities
94,pedo
95,scumbag
96,angles
97,felons
98,non-europeans
99,organisms
100,beta
101,capital
102,banksters
103,chickens
104,skinheads
105,mexicans
106,neocons
107,shoppers
108,homos
109,badass
110,miners
111,hippies
112,denier
113,hungarians
114,creatures
115,rangers
116,moderates
117,bloggers
118,southerners
119,reince
120,dems
121,newcomers
122,transgender
123,eagles
124,joker
125,hipster
126,homosexuals
127,alt-lite
128,neo-cons
129,armies
130,somalians
131,granny
132,jersey
133,slavs
134,globalist
135,deniers
136,colin
137,pig
138,apps
139,podcasts
140,educators
141,cucks
142,demons
143,feminists
144,globalists
145,prostitutes
146,bastard
147,non-jews
148,mossad
149,bloke
150,pedophiles
151,lo
152,sodomites
153,communists
154,massacre
155,illegals
156,progs
157,dictators
158,sham
159,wench
160,billionaires
161,militias
162,innocents
163,scholars
164,leftists
165,bastards
166,specialists
167,moslems
168,canadians
169,oligarchs
170,israelis
171,anti-racist
172,freaks
173,spaniards
174,cuckservatives
175,travellers
176,gangsters
177,villains
178,surge
179,monster
180,unaccompanied
181,rumor
182,ideologues
183,greens
184,armenians
185,female
186,witch
187,goyim
188,territory
189,slut
190,potatoes
191,alles
192,bigots
193,normies
194,businessmen
195,rats
196,garrison
197,libtard
198,latinos
199,beasts
200,lunatics
201,asshole
202,rat
203,zombies
204,fool
205,agitators
206,aryans
207,male
208,marchers
209,juveniles
210,mutant
211,capitalists
212,frogs
213,moron
214,barbarians
215,saudis
216,kurds
217,witches
218,crazies
219,stickers
220,gibson
221,ukrainians
222,stat
223,flier
224,assholes
225,clergy
226,fo
227,economists
228,gentleman
229,drones
230,anti-whites
231,marine
232,losers
233,coward
234,lions
235,googles
236,idiots
237,fools
238,boomers
239,comedians
240,snakes
241,commies
242,monsters
243,professions
244,progressives
245,libtards
246,non-whites
247,entities
248,cuck
249,libs
250,clowns
251,haley
252,psychopaths
253,albanians
254,implication
255,lunatic
256,shitlibs
257,antifa
258,boomer
259,greeks
260,patriarch
261,perp
262,orleans
263,culprits
